learner_level,learner_skills,learner_goals,formation_id,formation_title,formation_level,formation_skills,formation_category,label
INTERMEDIATE,PostgreSQL|REST APIs,francais,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Spring Security|Java|Angular,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs|French,angular training,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Angular|TypeScript,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Communication|Business English,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Java|Spring Boot|Spring Security|French|Project Management,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Angular|TypeScript|Project Management|Agile,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,French|Communication|Spring Security,presentation,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,PostgreSQL,language,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,PostgreSQL,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,French|Communication,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Java|TypeScript,frontend,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Java|REST APIs|PostgreSQL|Spring Boot|Spring Security,api job,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
ADVANCED,Agile|Project Management|French,scrum,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Spring Boot|Spring Security,presentation,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Project Management,scrum,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,Java|Spring Boot|Angular,full stack training,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Java|REST APIs|Spring Boot|Communication,spring career,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,Java|Spring Boot|Angular|TypeScript|REST APIs,angular training,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Communication|Business English|Agile|REST APIs,business training,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Business English|Communication,api,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Spring Security|PostgreSQL,fullstack,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Spring Security,fullstack,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript,angular training,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Java|REST APIs|PostgreSQL|Spring Boot|Spring Security,rest,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,French|Communication|Java,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Business English|REST APIs|TypeScript,spring,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Communication|Project Management,presentation,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Java|Spring Boot|Angular|TypeScript|Project Management|Communication,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Business English,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Communication|Business English|Project Management|French,business training,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,Java|Business English|French,language,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Java|REST APIs|PostgreSQL,backend training,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
ADVANCED,Business English|French|Spring Boot,security,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,Project Management|Agile|TypeScript|Spring Security,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,TypeScript|Spring Boot,ui,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,full stack job,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,French,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Project Management,ui,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,PostgreSQL|Angular,francais,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,French|Agile|Spring Security,frontend,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,Angular|TypeScript|Spring Security,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
INTERMEDIATE,Communication|Business English,presentation,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,Communication|Project Management,presentation,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Business English|Communication,english job,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Project Management|Spring Boot,java,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Project Management|Agile|Communication,scrum career,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,Business English|PostgreSQL,fullstack,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,Project Management|Agile|Business English,ui,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,Project Management|Agile,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|French|Agile,auth job,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,Business English|Communication|Project Management,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,REST APIs|Project Management|Angular,spring,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
ADVANCED,Angular,fullstack,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
ADVANCED,PostgreSQL|Business English|Communication,backend,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,TypeScript,english,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Java|Spring Boot|Angular|Communication,fullstack,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Business English|Communication|Agile,english career,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Communication|Business English|TypeScript|Angular,business career,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|PostgreSQL|French,fullstack job,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
ADVANCED,Java|Spring Boot|Spring Security|REST APIs,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,French|Project Management|Angular,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Spring Security|REST APIs|French,agile,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,French|Communication,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript,java training,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,TypeScript|French|Business English,ui,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,French|Communication|TypeScript|Business English,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,PostgreSQL|Spring Boot|Spring Security,java,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Angular|Project Management,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,PostgreSQL|Spring Security,auth,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Spring Security|REST APIs,language,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,French|Communication|Project Management|Business English,language career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Project Management|Agile|French,scrum,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,Java|Spring Boot|Spring Security|French,security,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Business English,francais,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Java|REST APIs,spring,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,TypeScript|Spring Security|Agile,french,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,Communication|Business English,presentation training,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|PostgreSQL,jwt,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Agile,agile,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Business English|Communication,language job,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,French|Spring Boot|Project Management,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Business English|Communication,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Project Management|Java,api,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Angular|REST APIs,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Project Management|Agile,management training,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,Java|Spring Boot|Angular,fullstack training,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,French|Communication,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Java|Spring Boot|Angular|TypeScript,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Spring Security|Spring Boot|Java,business,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Agile,communication,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,Java|Spring Boot|Spring Security|Communication|Agile,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Java|Spring Boot|Spring Security|Project Management|REST APIs,spring training,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Business English,english training,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,Angular|Communication,francais,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
INTERMEDIATE,Java,communication,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,French|Project Management,it english,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,TypeScript|French|PostgreSQL,full stack,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Communication,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,Java,auth,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Java|REST APIs|PostgreSQL|Angular|Spring Security,backend,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
INTERMEDIATE,Communication|Business English|PostgreSQL|Spring Security,presentation,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Communication,francais,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|Angular|Project Management,spring training,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Angular|French|Spring Boot,angular career,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,French|Communication,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Business English|Angular|PostgreSQL,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Java|REST APIs|PostgreSQL,spring,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
INTERMEDIATE,Project Management|Agile,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Project Management,java job,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,Java|Angular|French,language,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|French,jwt,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Agile|Business English|Project Management,project,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Business English|Communication|Spring Security,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Angular|French|Project Management,angular,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
ADVANCED,Spring Boot|Spring Security|French,auth,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Java|Spring Boot|Spring Security|REST APIs,auth career,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Java|REST APIs|TypeScript,french,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
ADVANCED,Communication|Spring Security,it english,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Angular|TypeScript|Business English,frontend career,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Angular,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Angular|PostgreSQL,backend,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
INTERMEDIATE,Angular,api,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
ADVANCED,Project Management|Java,java,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Angular|TypeScript,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,French,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Agile|Business English|Project Management,francais,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
INTERMEDIATE,Communication|Business English,business job,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,PostgreSQL,it english,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,Communication,java,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,Angular|Java|French,management,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,French,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,French|Communication,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Communication|Spring Security|Spring Boot,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,PostgreSQL|Angular,auth,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
ADVANCED,Agile,communication,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Angular|TypeScript|Spring Security,angular,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Java|Spring Security|Angular,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,French|Communication,francais career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Communication,business career,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Java|REST APIs|PostgreSQL,api,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,Business English|Communication|REST APIs|Spring Security,english job,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,Java|Spring Boot|Spring Security|Angular,security,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Spring Security|TypeScript,security,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Agile|Communication,java job,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,French|Spring Boot,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Java|Spring Boot|Spring Security|PostgreSQL,security,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Spring Boot|Agile,angular,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Communication|Project Management,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Java|Spring Boot|Spring Security|Communication|TypeScript,auth,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Project Management,ui,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Java|REST APIs|PostgreSQL|Angular|Spring Security,api career,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Business English|REST APIs,java,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
ADVANCED,Java|Spring Boot|Spring Security|Agile|Project Management,security,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Business English|Communication|French,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Communication|Project Management|TypeScript,scrum,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,French,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Project Management,angular,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Project Management|Agile|Communication|Spring Boot|REST APIs,scrum,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,REST APIs,fullstack,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
ADVANCED,Spring Security|Spring Boot|PostgreSQL,english,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Java|REST APIs|PostgreSQL,backend career,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs|Agile|Business English,full stack job,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
ADVANCED,French|Business English,java,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Spring Boot|PostgreSQL|Java,java,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
ADVANCED,PostgreSQL|Business English|French,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Java|REST APIs,spring training,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
ADVANCED,PostgreSQL|TypeScript|REST APIs,francais,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,French|Communication|TypeScript|Spring Boot,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Project Management|Agile,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,PostgreSQL|REST APIs|Spring Boot,communication,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
ADVANCED,Spring Security|Java|Project Management,ui,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
INTERMEDIATE,TypeScript|Agile|Business English,language,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
INTERMEDIATE,Angular|Agile|PostgreSQL,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Angular|TypeScript|PostgreSQL|Business English,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,Java|Spring Boot|Spring Security|Communication,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Java|Spring Boot,full stack,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Business English|Communication,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,French|Communication,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Project Management,frontend,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Angular|TypeScript,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,French,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|French,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Project Management|Agile|Communication|PostgreSQL,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,Angular|TypeScript|REST APIs,ui career,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Angular|Spring Security|Spring Boot,angular,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Spring Security,english,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,Business English|Project Management,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Project Management|Agile|PostgreSQL|Spring Security,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,Project Management|Agile,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,Spring Security|Java,management,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,French|Spring Boot|Business English,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Agile,english,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
INTERMEDIATE,Project Management|Agile,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,Java,backend,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
ADVANCED,Spring Boot|Angular,english,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
ADVANCED,TypeScript|Project Management,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Angular|TypeScript,frontend training,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,French|Communication|Business English,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Angular|TypeScript|Communication,typescript,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,French|Project Management|Communication,business,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Business English|REST APIs,full stack career,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
ADVANCED,Spring Boot,it english,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Project Management|Agile|TypeScript|French,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,French|Communication|Spring Boot,language,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Business English|Communication,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Project Management|French,french,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,French|Project Management|Angular,english,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Agile|French,full stack career,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Business English|Communication,it english career,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Angular,francais,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
INTERMEDIATE,Business English,language,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Business English,security,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Communication|Business English|REST APIs|PostgreSQL,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Angular|TypeScript|Business English|PostgreSQL,typescript,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Communication,java,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Angular|TypeScript|Spring Boot,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,PostgreSQL|TypeScript|Java,project,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
INTERMEDIATE,Project Management,francais,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
ADVANCED,PostgreSQL|REST APIs|Java,full stack,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
